# canonical skill; English, Slovenian and German aliases separated by |
Facade Work;facade work|fasaderstvo|fassadenarbeiten
Facility Services;facility services|upravljanje objektov|facility services
Financial Analysis;financial analyst|financna analiza|finanzanalyse
Firefighting;firefighter|gasilec|feuerwehr
Firewall Management;firewall management|upravljanje pozarnih zidov|firewall administration
First Aid;first aid|prva pomoc|erste hilfe
Floristry;florist|cvetlicar|floristik
Food Handling;food handling|ravnanje z zivili|lebensmittelhandhabung
Food Preparation;food preparation|priprava hrane|speisenzubereitung
Food Production;food production|proizvodnja hrane|lebensmittelproduktion
Food Safety;food safety|varnost hrane|lebensmittelsicherheit
Foot Care;foot care|pedikura|fusspflege
Forestry Work;forestry worker|gozdarska dela|forstarbeit
Fruit Sales;fruit sales|prodaja sadja|obstverkauf
Gamekeeping;gamekeeper|lovski cuvaj|wildhueter
Gas Station Service;gas station attendant|delo na bencinskem servisu|tankstellenmitarbeiter
GDPR Compliance;gdpr compliance|varstvo osebnih podatkov|dsgvo konformitaet
General Labor;general labor|fizicna dela|hilfsarbeit
General Work;general work|splosna dela|allgemeine arbeiten
Geography;geography|geografija|geografie
Geriatric Care;geriatric care|geriatricna nega|geriatrische pflege
GMP Compliance;gmp compliance|gmp skladnost|gmp konformitaet
Guided Tours;guided tours|vodeni ogledi|fuehrungen
HACCP;haccp
Healthcare Education;healthcare education|zdravstvena vzgoja|gesundheitserziehung
Higher Education;higher education|visokosolsko izobrazevanje|hochschulbildung
History;history|zgodovina|geschichte
Hungarian Language;hungarian|madzarscina|ungarisch
HVAC;hvac|ogrevanje hlajenje prezracevanje|heizung klima lueftung
Hydraulics;hydraulics|hidravlika|hydraulik
Hygiene;hygiene|higiena|hygiene
Hyper-V;hyper v
IIS;iis|internet information services
Independent Working;independent working|samostojno delo|selbststaendiges arbeiten
Industrial Cleaning;industrial cleaning|industrijsko ciscenje|industriereinigung
Industrial Manufacturing;industrial manufacturing|industrijska proizvodnja|industrielle fertigung
Information Systems;information systems|informacijski sistemi|informationssysteme
Insurance Sales;insurance sales|prodaja zavarovanj|versicherungsverkauf
Intensive Care;intensive care|intenzivna nega|intensivpflege
Internal Communications;internal communications|interna komunikacija|interne kommunikation
Internal Medicine;internal medicine|interna medicina|innere medizin
Internet of Things;internet of things|iot|internet stvari|internet der dinge
Internship / Practical Training;internship|practical training|praksa|prakticno usposabljanje|praktikum
Intrusion Detection;intrusion detection|zaznavanje vdorov|einbruchserkennung
Inventory Management;inventory management|upravljanje zalog|bestandsmanagement
IT Infrastructure;it infrastructure|it infrastruktura|it infrastruktur
Italian Cuisine;italian cuisine|italijanska kuhinja|italienische kueche
Italian Language;italian|italijanscina|italienisch
Japanese Cuisine;japanese cuisine|japonska kuhinja|japanische kueche
Java;java
JavaScript;javascript|java script|js
Journalism;journalist|novinarstvo|journalismus
Kitchen Management;kitchen management|vodenje kuhinje|kuechenleitung
Kitchen Support;kitchen assistant|pomocnik v kuhinji|kuechenhilfe
Kubernetes;kubernetes|k8s
LAN/WAN Networking;lan wan networking|omrezja lan wan|lan wan netzwerke
Language Education;language teacher|jezikovno izobrazevanje|sprachunterricht
Laundry Work;laundry work|pralnica|waescherei
Library Science;librarian|knjiznicarstvo|bibliothekswesen
Linux;linux
Locomotive Operation;locomotive driver|strojevodja|lokfuehrer
Massage Therapy;massage therapist|masaza|massage
Material Handling;material handling|ravnanje z materialom|materialhandhabung
Mathematics;mathematics|math|matematika|mathematik
Meat Processing;meat processing|predelava mesa|fleischverarbeitung
Mechanical Engineering;mechanical engineer|strojnistvo|maschinenbau
Mechatronics;mechatronics|mehatronika|mechatronik
Medicine;medicine|medicina|medizin
Mediterranean Cuisine;mediterranean cuisine|mediteranska kuhinja|mediterrane kueche
Menu Planning;menu planning|nacrtovanje jedilnikov|menueplanung
Metal Technology;metal technology|kovinska tehnologija|metalltechnik
Metalworking;metalworking|obdelava kovin|metallbearbeitung
Microsoft Office;microsoft office|ms office
Midwifery;midwife|babistvo|hebamme
MongoDB;mongodb
Monitoring;monitoring|nadzor sistemov|systemueberwachung
Music Education;music teacher|glasbena vzgoja|musikerziehung
Nail Styling;nail stylist|urejanje nohtov|nageldesign
Nephrology;nephrology|nefrologija|nephrologie
Network Administration;network administrator|upravljanje omrezij|netzwerkadministration
Network Monitoring;network monitoring|nadzor omrezij|netzwerkueberwachung
Neurology;neurology|nevrologija|neurologie
Object-Oriented Programming;object oriented programming|oop|objektno programiranje|objektorientierte programmierung
Occupational Therapy;occupational therapist|delovna terapija|ergotherapie
Oncology;oncology|onkologija|onkologie
Operating Room Care;operating room care|operacijska nega|op pflege
Optics;optician|optika|optik
Orthopedics;orthopedics|ortopedija|orthopaedie
Painting;painter|pleskar|maler
Pastry Making;pastry chef|slascicarstvo|konditorei
Pastry Preparation;pastry preparation|priprava sladic|mehlspeisenzubereitung
Pathology;pathology|patologija|pathologie
Payment Systems;payment systems|placilni sistemi|zahlungssysteme
Payroll Administration;payroll administration|obracun plac|lohnverrechnung
Pediatrics;pediatrics|pediatrija|paediatrie
Philosophy;philosophy|filozofija|philosophie
Physical Education;physical education|sportna vzgoja|sportunterricht
Physics;physics|fizika|physik
Pizza Preparation;pizza chef|priprava pic|pizzazubereitung
Pool Supervision;lifeguard|kopaliski mojster|bademeister
Postal Sorting;postal sorting|sortiranje poste|postsortierung
PowerShell;powershell
Primary Education;primary education|razredni pouk|grundschulbildung
Printing;printing|tiskarstvo|druck
Problem Solving;problem solving|resevanje problemov|problemloesung
Procurement;procurement|nabava|beschaffung
Production Line Work;production line|delo na proizvodni liniji|fliessbandarbeit
Property Management;property management|upravljanje nepremicnin|immobilienverwaltung
Proxmox;proxmox
Psychiatry;psychiatry|psihiatrija|psychiatrie
Psychology;psychology|psihologija|psychologie
Public Administration;public administration|javna uprava|oeffentliche verwaltung
Public Order Enforcement;public order enforcement|javni red|ordnungsdienst
Python;python
Quality Control;quality control|kontrola kakovosti|qualitaetskontrolle
Radiology;radiology|radiologija|radiologie
Railway Operations;railway operations|zelezniski promet|bahnbetrieb
Rebar Work;rebar work|armiranje|bewehrungsarbeiten
Records Management;records management|upravljanje evidenc|aktenverwaltung
Research;research|raziskovanje|forschung
Research and Development;research and development|raziskave in razvoj|forschung und entwicklung
Reservation Management;reservation management|upravljanje rezervacij|reservierungsmanagement
Road Grader Operation;road grader operator|upravljalec grederja|graderfahrer
Road Maintenance;road maintenance|vzdrzevanje cest|strasseninstandhaltung
Robotics;robotics|robotika|robotik
Roofing;roofer|krovec|dachdecker
Sanitary Installation;sanitary installation|sanitarne instalacije|sanitaerinstallation
SAP;sap
Science Education;science teacher|naravoslovno izobrazevanje|naturwissenschaftlicher unterricht
Secondary Education;secondary education|srednjesolsko izobrazevanje|sekundarbildung
Security Services;security services|varnostne storitve|sicherheitsdienst
Serbian Language;serbian|srbscina|serbisch
Sewing;sewing|sivanje|naehen
Sheet Metal Work;sheet metal worker|kleparstvo|blechbearbeitung
Shelf Stocking;shelf stocking|zlaganje polic|regalbetreuung
Site Supervision;site supervisor|gradbeni nadzor|bauaufsicht
Social Care;social care|socialna oskrba|sozialbetreuung
Special Needs Care;special needs care|oskrba oseb s posebnimi potrebami|behindertenbetreuung
Speech Therapy;speech therapist|logopedija|logopaedie
Sprayed Concrete;sprayed concrete|brizgani beton|spritzbeton
SQL;sql
Sterilization;sterilization|sterilizacija|sterilisation
Storage Administration;storage administration|upravljanje diskovnih sistemov|speicheradministration
Stove Building;stove builder|pecar|ofenbauer
Structured Working;structured working|strukturirano delo|strukturiertes arbeiten
Student Work;student work|studentsko delo|studentenjob
Surgery;surgery|kirurgija|chirurgie
Switches and Routers;switches and routers|stikala in usmerjevalniki|switches und router
Tailoring;tailor|krojac|schneider
Taxi Driving;taxi driver|taksist|taxifahrer
Teamwork;teamwork|timsko delo|teamarbeit
Technical Documentation;technical documentation|tehnicna dokumentacija|technische dokumentation
Technical Education;technical education|tehnicno izobrazevanje|technische bildung
Technical Maintenance;technical maintenance|tehnicno vzdrzevanje|technische wartung
Technical Support;technical support|tehnicna podpora|technischer support
Telecommunications;telecommunications|telekomunikacije|telekommunikation
Terraform;terraform
Textile Work;textile work|tekstilna dela|textilarbeit
Therapeutic Work;therapeutic work|terapevtsko delo|therapeutische arbeit
Tiling;tiler|polaganje ploscic|fliesenleger
Tire Service;tire service|vulkanizer|reifenservice
Tour Guiding;tour guide|turisticni vodic|reisefuehrer
Upholstery;upholsterer|tapetnik|polsterer
Urology;urology|urologija|urologie
Utilities Maintenance;utilities maintenance|vzdrzevanje komunalne infrastrukture|instandhaltung versorgungstechnik
Van Driving;van driver|voznik kombija|transporterfahrer
Vehicle Diagnostics;vehicle diagnostics|diagnostika vozil|fahrzeugdiagnose
Vehicle Towing;vehicle towing|avtovleka|abschleppdienst
Virtualization;virtualization|virtualizacija|virtualisierung
VMware;vmware
Vocational Education;vocational education|poklicno izobrazevanje|berufsbildung
Waste Management;waste management|ravnanje z odpadki|abfallwirtschaft
Windows Server;windows server
Wireless Networking;wireless networking|brezzicna omrezja|drahtlose netzwerke
Wood Procurement;wood procurement|nabava lesa|holzbeschaffung
Woodworking;woodworking|obdelava lesa|holzbearbeitung
