id,name,SkillTypeId
sk-telecommunications,Telecommunications,skill-technical
sk-woodworking,Woodworking,skill-technical
sk-metalworking,Metalworking,skill-production
sk-automotive-repair,Automotive Repair,skill-technical
sk-graphic-design,Graphic Design,skill-technical
sk-library-science,Library Science,skill-administration
sk-active-directory,Active Directory,skill-technical
sk-agriculture,Agriculture,skill-other
sk-anesthesiology,Anesthesiology,skill-healthcare
sk-baking,Baking,skill-cooking
sk-bus-driving,Bus Driving,skill-logistics
sk-cardiology,Cardiology,skill-healthcare
sk-carpentry,Carpentry,skill-construction
sk-communication,Communication,skill-soft-skill
sk-croatian-language,Croatian Language,skill-language
sk-cybersecurity,Cybersecurity,skill-technical
sk-dental-care,Dental Care,skill-healthcare
sk-dermatovenerology,Dermatovenerology,skill-healthcare
sk-dhcp,DHCP,skill-technical
sk-dialysis-care,Dialysis Care,skill-healthcare
sk-dns,DNS,skill-technical
sk-driving-category-b,Driving License Category B,skill-logistics
sk-driving-category-c,Driving License Category C,skill-logistics
sk-driving-category-ce,Driving License Category CE,skill-logistics
sk-driving-category-d,Driving License Category D,skill-logistics
sk-driving-category-e,Driving License Category E,skill-logistics
sk-driving-instruction,Driving Instruction,skill-education
sk-emergency-medicine,Emergency Medicine,skill-healthcare
sk-endoscopy,Endoscopy,skill-healthcare
sk-facade-work,Facade Work,skill-construction
sk-firewall-management,Firewall Management,skill-technical
sk-first-aid,First Aid,skill-healthcare
sk-forestry,Forestry,skill-other
sk-gardening,Gardening,skill-other
sk-geriatric-care,Geriatric Care,skill-healthcare
sk-home-care,Home Care,skill-healthcare
sk-hungarian-language,Hungarian Language,skill-language
sk-hyper-v,Hyper-V,skill-technical
sk-iis,IIS,skill-technical
sk-intensive-care,Intensive Care,skill-healthcare
sk-internal-medicine,Internal Medicine,skill-healthcare
sk-intrusion-detection,Intrusion Detection,skill-technical
sk-italian-language,Italian Language,skill-language
sk-java,Java,skill-technical
sk-lan-wan-networking,LAN/WAN Networking,skill-technical
sk-linux,Linux,skill-technical
sk-masonry,Masonry,skill-construction
sk-midwifery,Midwifery,skill-healthcare
sk-nephrology,Nephrology,skill-healthcare
sk-network-administration,Network Administration,skill-technical
sk-network-monitoring,Network Monitoring,skill-technical
sk-neurology,Neurology,skill-healthcare
sk-oncology,Oncology,skill-healthcare
sk-operating-room-care,Operating Room Care,skill-healthcare
sk-orthopedics,Orthopedics,skill-healthcare
sk-packaging,Packaging,skill-production
sk-painting,Painting,skill-construction
sk-pediatrics,Pediatrics,skill-healthcare
sk-plumbing,Plumbing,skill-technical
sk-postal-delivery,Postal Delivery,skill-logistics
sk-project-management,Project Management,skill-management
sk-proxmox,Proxmox,skill-technical
sk-psychiatry,Psychiatry,skill-healthcare
sk-quality-control,Quality Control,skill-production
sk-radiology,Radiology,skill-healthcare
sk-reception-work,Reception Work,skill-administration
sk-restaurant-service,Restaurant Service,skill-hospitality
sk-roofing,Roofing,skill-construction
sk-security-work,Security Work,skill-other
sk-serbian-language,Serbian Language,skill-language
sk-sewing,Sewing,skill-production
sk-sterilization,Sterilization,skill-healthcare
sk-surgery,Surgery,skill-healthcare
sk-switches-routers,Switches and Routers,skill-technical
sk-technical-documentation,Technical Documentation,skill-technical
sk-textile-work,Textile Work,skill-production
sk-tire-service,Tire Service,skill-technical
sk-vehicle-towing,Vehicle Towing,skill-logistics
sk-virtualization,Virtualization,skill-technical
sk-vmware,VMware,skill-technical
sk-windows-server,Windows Server,skill-technical
sk-wireless-networking,Wireless Networking,skill-technical
sk-secondary-education,Secondary Education,skill-education
sk-higher-education,Higher Education,skill-education
sk-vocational-education,Vocational Education,skill-education
sk-healthcare-education,Healthcare Education,skill-education
sk-science-education,Science Education,skill-education
sk-language-education,Language Education,skill-education
sk-computer-science-education,Computer Science Education,skill-education
sk-business-education,Business Education,skill-education
sk-student-work,Student Work,skill-other
sk-finance,Finance,skill-finance
sk-japanese-cuisine,Japanese Cuisine,skill-cooking
sk-asian-cuisine,Asian Cuisine,skill-cooking
sk-italian-cuisine,Italian Cuisine,skill-cooking
sk-mediterranean-cuisine,Mediterranean Cuisine,skill-cooking
sk-pastry-making,Pastry Making,skill-cooking
sk-production-line-work,Production Line Work,skill-production
sk-material-handling,Material Handling,skill-production
sk-industrial-manufacturing,Industrial Manufacturing,skill-production
"sk-agile-working","Agile Working","skill-soft-skill"
"sk-ansible","Ansible","skill-technical"
"sk-api-development","API Development","skill-technical"
"sk-azure","Microsoft Azure","skill-technical"
"sk-backup-administration","Backup Administration","skill-technical"
"sk-bodywork-repair","Bodywork Repair","skill-technical"
"sk-ci-cd","CI/CD","skill-technical"
"sk-cloud-computing","Cloud Computing","skill-technical"
"sk-complaint-management","Complaint Management","skill-sales"
"sk-controlling","Controlling","skill-finance"
"sk-crm","CRM Systems","skill-sales"
"sk-csharp","C#","skill-technical"
"sk-devops","DevOps","skill-technical"
"sk-docker","Docker","skill-technical"
"sk-dotnet",".NET","skill-technical"
"sk-git","Git","skill-technical"
"sk-gmp-compliance","GMP Compliance","skill-safety"
"sk-housekeeping","Housekeeping","skill-cleaning"
"sk-hydraulics","Hydraulics","skill-technical"
"sk-independent-working","Independent Working","skill-soft-skill"
"sk-iot","Internet of Things","skill-technical"
"sk-kubernetes","Kubernetes","skill-technical"
"sk-mongodb","MongoDB","skill-technical"
"sk-monitoring","Monitoring","skill-technical"
"sk-object-oriented-programming","Object-Oriented Programming","skill-technical"
"sk-pathology","Pathology","skill-healthcare"
"sk-powershell","PowerShell","skill-technical"
"sk-problem-solving","Problem Solving","skill-soft-skill"
"sk-retail-sales","Retail Sales","skill-sales"
"sk-storage-administration","Storage Administration","skill-technical"
"sk-structured-working","Structured Working","skill-soft-skill"
"sk-teamwork","Teamwork","skill-soft-skill"
"sk-terraform","Terraform","skill-technical"
"sk-urology","Urology","skill-healthcare"
"sk-bar-service","Bar Service","skill-hospitality"
"sk-kitchen-support","Kitchen Support","skill-cooking"
"sk-delivery-driving","Delivery Driving","skill-logistics"
"sk-cycling-delivery","Cycling Delivery","skill-logistics"
"sk-chimney-sweeping","Chimney Sweeping","skill-cleaning"
"sk-site-supervision","Site Supervision","skill-management"
"sk-hvac","HVAC","skill-technical"
"sk-animal-care","Animal Care","skill-other"
"sk-foot-care","Foot Care","skill-beauty"
"sk-beauty-services","Beauty Services","skill-beauty"
"sk-security-services","Security Services","skill-safety"
"sk-childcare","Childcare","skill-education"
"sk-reservation-management","Reservation Management","skill-hospitality"
"sk-bookkeeping","Bookkeeping","skill-finance"
"sk-order-picking","Order Picking","skill-logistics"
"sk-sanitary-installation","Sanitary Installation","skill-construction"
"sk-research-and-development","Research and Development","skill-technical"
"sk-e-mobility","E-Mobility","skill-technical"
"sk-shelf-stocking","Shelf Stocking","skill-logistics"
"sk-food-handling","Food Handling","skill-safety"
"sk-nail-styling","Nail Styling","skill-beauty"
"sk-eyelash-styling","Eyelash Styling","skill-beauty"
"sk-railway-operations","Railway Operations","skill-logistics"
"sk-tiling","Tiling","skill-construction"
"sk-floristry","Floristry","skill-other"
"sk-taxi-driving","Taxi Driving","skill-logistics"
"sk-technical-support","Technical Support","skill-technical"
"sk-sap","SAP","skill-technical"
"sk-massage-therapy","Massage Therapy","skill-healthcare"
"sk-call-center","Call Center","skill-sales"
"sk-social-care","Social Care","skill-healthcare"
"sk-autism-support","Autism Support","skill-healthcare"
"sk-curation","Curation","skill-education"
"sk-sprayed-concrete","Sprayed Concrete","skill-construction"
"sk-optics","Optics","skill-technical"
"sk-firefighting","Firefighting","skill-safety"
"sk-alarm-systems","Alarm Systems","skill-safety"
"sk-metal-technology","Metal Technology","skill-production"
"sk-fruit-sales","Fruit Sales","skill-sales"
"sk-sheet-metal-work","Sheet Metal Work","skill-construction"
"sk-meat-processing","Meat Processing","skill-production"
"sk-excavator-operation","Excavator Operation","skill-construction"
"sk-rebar-work","Rebar Work","skill-construction"
"sk-pastry","Pastry Preparation","skill-cooking"
"sk-locomotive-operation","Locomotive Operation","skill-logistics"
"sk-upholstery","Upholstery","skill-production"
"sk-gas-station-service","Gas Station Service","skill-sales"
"sk-aircraft-maintenance","Aircraft Maintenance","skill-technical"
"sk-forestry-work","Forestry Work","skill-other"
"sk-crane-operation","Crane Operation","skill-construction"
"sk-tailoring","Tailoring","skill-production"
"sk-road-maintenance","Road Maintenance","skill-construction"
"sk-bath-supervision","Pool Supervision","skill-safety"
"sk-general-labor","General Labor","skill-other"
"sk-practical-training","Internship / Practical Training","skill-other"
"sk-internal-communications","Internal Communications","skill-administration"
"sk-stove-building","Stove Building","skill-construction"
"sk-drywall-installation","Drywall Installation","skill-construction"
"sk-laundry-work","Laundry Work","skill-cleaning"
"sk-pool-supervision","Pool Supervision","skill-safety"
"sk-energy-systems","Energy Systems","skill-technical"
"sk-procurement","Procurement","skill-administration"
"sk-wood-procurement","Wood Procurement","skill-logistics"
"sk-food-production","Food Production","skill-production"
"sk-printing","Printing","skill-production"
"sk-aquaculture","Aquaculture","skill-other"
"sk-it-support","IT Support","skill-technical"
"sk-digital-archiving","Digital Archiving","skill-administration"
"sk-concrete-formwork","Concrete Formwork","skill-construction"
"sk-cultural-guiding","Cultural Guiding","skill-hospitality"
"sk-exhibition-supervision","Exhibition Supervision","skill-safety"
"sk-gamekeeping","Gamekeeping","skill-other"
"sk-dispatching","Dispatching","skill-logistics"
"sk-road-grader-operation","Road Grader Operation","skill-construction"
"sk-elderly-care","Elderly Care","skill-healthcare"
"sk-utilities-maintenance","Utilities Maintenance","skill-technical"
"sk-industrial-cleaning","Industrial Cleaning","skill-cleaning"
"sk-retail-cashier","Retail Cashier","skill-sales"
"sk-tour-guiding","Tour Guiding","skill-hospitality"
"sk-facility-services","Facility Services","skill-cleaning"
