id,relationshipType,sourceSkillId,targetSkillId
sr-00052,RELATED_TO,sk-serbian-language,sk-slovenian-language
sr-00053,RELATED_TO,sk-hungarian-language,sk-slovenian-language
sr-00054,RELATED_TO,sk-italian-language,sk-english-language
sr-00055,PART_OF,sk-driving-category-b,sk-driving
sr-00056,PART_OF,sk-driving-category-c,sk-driving
sr-00057,PART_OF,sk-driving-category-d,sk-driving
sr-00058,PART_OF,sk-driving-category-e,sk-driving
sr-00059,PART_OF,sk-driving-category-ce,sk-driving
sr-00060,RELATED_TO,sk-driving-category-b,sk-van-driving
sr-00061,RELATED_TO,sk-driving-category-c,sk-truck-driving
sr-00062,RELATED_TO,sk-driving-category-ce,sk-truck-driving
sr-00063,RELATED_TO,sk-driving-category-d,sk-bus-driving
sr-00064,PART_OF,sk-bus-driving,sk-driving
sr-00065,RELATED_TO,sk-bus-driving,sk-driving-category-d
sr-00066,RELATED_TO,sk-postal-delivery,sk-driving
sr-00067,RELATED_TO,sk-postal-delivery,sk-customer-service
sr-00068,RELATED_TO,sk-vehicle-towing,sk-driving
sr-00069,RELATED_TO,sk-vehicle-towing,sk-automotive-repair
sr-00070,RELATED_TO,sk-vehicle-towing,sk-vehicle-diagnostics
sr-00071,RELATED_TO,sk-tire-service,sk-automotive-repair
sr-00072,RELATED_TO,sk-tire-service,sk-mechanical-repair
sr-00073,PART_OF,sk-painting,sk-construction-work
sr-00074,RELATED_TO,sk-facade-work,sk-painting
sr-00075,PART_OF,sk-facade-work,sk-construction-work
sr-00076,PART_OF,sk-masonry,sk-construction-work
sr-00077,PART_OF,sk-carpentry,sk-construction-work
sr-00078,PART_OF,sk-roofing,sk-construction-work
sr-00079,RELATED_TO,sk-roofing,sk-carpentry
sr-00080,RELATED_TO,sk-plumbing,sk-technical-maintenance
sr-00081,RELATED_TO,sk-plumbing,sk-construction-work
sr-00082,PART_OF,sk-packaging,sk-production-work
sr-00083,RELATED_TO,sk-packaging,sk-warehouse-operations
sr-00084,RELATED_TO,sk-quality-control,sk-production-work
sr-00085,RELATED_TO,sk-quality-control,sk-machine-operation
sr-00086,PART_OF,sk-sewing,sk-production-work
sr-00087,RELATED_TO,sk-sewing,sk-textile-work
sr-00088,PART_OF,sk-textile-work,sk-production-work
sr-00089,PART_OF,sk-baking,sk-cooking
sr-00090,RELATED_TO,sk-baking,sk-food-preparation
sr-00091,PART_OF,sk-restaurant-service,sk-hospitality
sr-00092,RELATED_TO,sk-restaurant-service,sk-customer-service
sr-00093,RELATED_TO,sk-reception-work,sk-customer-service
sr-00094,RELATED_TO,sk-reception-work,sk-administration
sr-00095,RELATED_TO,sk-security-work,sk-customer-service
sr-00096,RELATED_TO,sk-security-work,sk-communication
sr-00097,RELATED_TO,sk-gardening,sk-agriculture
sr-00098,RELATED_TO,sk-forestry,sk-agriculture
sr-00099,RELATED_TO,sk-agriculture,sk-production-work
sr-00100,RELATED_TO,sk-first-aid,sk-patient-care
sr-00101,RELATED_TO,sk-first-aid,sk-medicine
sr-00102,RELATED_TO,sk-home-care,sk-patient-care
sr-00103,RELATED_TO,sk-home-care,sk-nursing
sr-00104,RELATED_TO,sk-dental-care,sk-medicine
sr-00105,RELATED_TO,sk-dental-care,sk-patient-care
sr-00106,RELATED_TO,sk-dialysis-care,sk-nursing
sr-00107,RELATED_TO,sk-dialysis-care,sk-patient-care
sr-00108,RELATED_TO,sk-internal-medicine,sk-medicine
sr-00109,RELATED_TO,sk-geriatric-care,sk-patient-care
sr-00110,RELATED_TO,sk-geriatric-care,sk-nursing
sr-00111,RELATED_TO,sk-intensive-care,sk-nursing
sr-00112,RELATED_TO,sk-intensive-care,sk-patient-care
sr-00113,RELATED_TO,sk-emergency-medicine,sk-medicine
sr-00114,RELATED_TO,sk-emergency-medicine,sk-first-aid
sr-00115,RELATED_TO,sk-dermatovenerology,sk-medicine
sr-00116,RELATED_TO,sk-pediatrics,sk-medicine
sr-00117,RELATED_TO,sk-pediatrics,sk-patient-care
sr-00118,RELATED_TO,sk-surgery,sk-medicine
sr-00119,RELATED_TO,sk-surgery,sk-operating-room-care
sr-00120,RELATED_TO,sk-operating-room-care,sk-nursing
sr-00121,RELATED_TO,sk-oncology,sk-medicine
sr-00122,RELATED_TO,sk-neurology,sk-medicine
sr-00123,RELATED_TO,sk-psychiatry,sk-medicine
sr-00124,RELATED_TO,sk-radiology,sk-laboratory-diagnostics
sr-00125,RELATED_TO,sk-radiology,sk-medicine
sr-00126,RELATED_TO,sk-anesthesiology,sk-medicine
sr-00127,RELATED_TO,sk-anesthesiology,sk-surgery
sr-00128,RELATED_TO,sk-orthopedics,sk-medicine
sr-00129,RELATED_TO,sk-orthopedics,sk-surgery
sr-00130,RELATED_TO,sk-cardiology,sk-medicine
sr-00131,RELATED_TO,sk-nephrology,sk-medicine
sr-00132,RELATED_TO,sk-nephrology,sk-dialysis-care
sr-00133,RELATED_TO,sk-endoscopy,sk-medicine
sr-00134,RELATED_TO,sk-endoscopy,sk-surgery
sr-00135,RELATED_TO,sk-sterilization,sk-operating-room-care
sr-00136,RELATED_TO,sk-sterilization,sk-patient-care
sr-00137,RELATED_TO,sk-midwifery,sk-nursing
sr-00138,RELATED_TO,sk-midwifery,sk-patient-care
sr-00139,RELATED_TO,sk-project-management,sk-management
sr-00140,RELATED_TO,sk-project-management,sk-business-management
sr-00141,PART_OF,sk-windows-server,sk-it-infrastructure
sr-00142,PART_OF,sk-linux,sk-it-infrastructure
sr-00143,RELATED_TO,sk-active-directory,sk-windows-server
sr-00144,USED_WITH,sk-active-directory,sk-it-infrastructure
sr-00145,RELATED_TO,sk-cybersecurity,sk-information-technology
sr-00146,RELATED_TO,sk-cybersecurity,sk-it-infrastructure
sr-00147,RELATED_TO,sk-network-administration,sk-it-infrastructure
sr-00148,RELATED_TO,sk-network-administration,sk-information-technology
sr-00149,RELATED_TO,sk-virtualization,sk-it-infrastructure
sr-00150,PART_OF,sk-vmware,sk-virtualization
sr-00151,PART_OF,sk-hyper-v,sk-virtualization
sr-00152,PART_OF,sk-proxmox,sk-virtualization
sr-00153,USED_WITH,sk-dns,sk-network-administration
sr-00154,USED_WITH,sk-dhcp,sk-network-administration
sr-00155,USED_WITH,sk-iis,sk-windows-server
sr-00156,RELATED_TO,sk-lan-wan-networking,sk-network-administration
sr-00157,RELATED_TO,sk-firewall-management,sk-cybersecurity
sr-00158,RELATED_TO,sk-firewall-management,sk-network-administration
sr-00159,RELATED_TO,sk-intrusion-detection,sk-cybersecurity
sr-00160,RELATED_TO,sk-switches-routers,sk-network-administration
sr-00161,RELATED_TO,sk-wireless-networking,sk-network-administration
sr-00162,RELATED_TO,sk-network-monitoring,sk-network-administration
sr-00163,RELATED_TO,sk-technical-documentation,sk-information-technology
sr-00164,RELATED_TO,sk-technical-documentation,sk-administration
sr-00165,RELATED_TO,sk-java,sk-software-development
sr-00166,RELATED_TO,sk-java,sk-information-technology
sr-new-semantic-001,RELATED_TO,sk-secondary-education,sk-teaching
sr-new-semantic-002,RELATED_TO,sk-higher-education,sk-teaching
sr-new-semantic-003,RELATED_TO,sk-vocational-education,sk-teaching
sr-new-semantic-004,RELATED_TO,sk-healthcare-education,sk-teaching
sr-new-semantic-005,RELATED_TO,sk-science-education,sk-teaching
sr-new-semantic-006,RELATED_TO,sk-language-education,sk-teaching
sr-new-semantic-007,RELATED_TO,sk-computer-science-education,sk-teaching
sr-new-semantic-008,RELATED_TO,sk-business-education,sk-teaching
sr-new-semantic-009,RELATED_TO,sk-student-work,sk-general-work
sr-new-semantic-010,RELATED_TO,sk-finance,sk-accounting
sr-cuisine-001,RELATED_TO,sk-japanese-cuisine,sk-cooking
sr-cuisine-002,RELATED_TO,sk-asian-cuisine,sk-cooking
sr-cuisine-003,RELATED_TO,sk-italian-cuisine,sk-cooking
sr-cuisine-004,RELATED_TO,sk-mediterranean-cuisine,sk-cooking
sr-cuisine-005,RELATED_TO,sk-pastry-making,sk-food-preparation
"sr-00167","PART_OF","sk-csharp","sk-software-development"
"sr-00168","PART_OF","sk-dotnet","sk-software-development"
"sr-00169","RELATED_TO","sk-api-development","sk-software-development"
"sr-00170","RELATED_TO","sk-cloud-computing","sk-information-technology"
"sr-00171","PART_OF","sk-azure","sk-cloud-computing"
"sr-00172","RELATED_TO","sk-kubernetes","sk-cloud-computing"
"sr-00173","RELATED_TO","sk-mongodb","sk-software-development"
"sr-00174","RELATED_TO","sk-iot","sk-information-technology"
"sr-00175","RELATED_TO","sk-devops","sk-software-development"
"sr-00176","RELATED_TO","sk-ci-cd","sk-devops"
"sr-00177","USED_WITH","sk-git","sk-software-development"
"sr-00178","USED_WITH","sk-terraform","sk-cloud-computing"
"sr-00179","USED_WITH","sk-ansible","sk-devops"
"sr-00180","USED_WITH","sk-powershell","sk-windows-server"
"sr-00181","RELATED_TO","sk-storage-administration","sk-it-infrastructure"
"sr-00182","RELATED_TO","sk-backup-administration","sk-it-infrastructure"
"sr-00183","RELATED_TO","sk-bodywork-repair","sk-automotive-repair"
"sr-00184","RELATED_TO","sk-retail-sales","sk-sales"
"sr-00185","RELATED_TO","sk-crm","sk-sales"
"sr-00186","RELATED_TO","sk-complaint-management","sk-customer-service"
"sr-00187","RELATED_TO","sk-urology","sk-medicine"
"sr-00188","RELATED_TO","sk-pathology","sk-medicine"
"sr-00189","RELATED_TO","sk-gmp-compliance","sk-quality-control"
"sr-00190","RELATED_TO","sk-bar-service","sk-hospitality"
"sr-00191","RELATED_TO","sk-kitchen-support","sk-cooking"
"sr-00192","RELATED_TO","sk-delivery-driving","sk-driving"
"sr-00193","RELATED_TO","sk-cycling-delivery","sk-delivery-driving"
"sr-00194","RELATED_TO","sk-chimney-sweeping","sk-cleaning"
"sr-00195","RELATED_TO","sk-site-supervision","sk-construction-work"
"sr-00196","RELATED_TO","sk-hvac","sk-technical-maintenance"
"sr-00197","RELATED_TO","sk-animal-care","sk-general-work"
"sr-00198","RELATED_TO","sk-foot-care","sk-beauty-services"
"sr-00199","RELATED_TO","sk-beauty-services","sk-hairdressing"
"sr-00200","RELATED_TO","sk-security-services","sk-general-work"
"sr-00201","RELATED_TO","sk-childcare","sk-early-childhood-education"
"sr-00202","RELATED_TO","sk-reservation-management","sk-reception-work"
"sr-00203","RELATED_TO","sk-bookkeeping","sk-accounting"
"sr-00204","RELATED_TO","sk-order-picking","sk-warehouse-operations"
"sr-00205","RELATED_TO","sk-sanitary-installation","sk-plumbing"
"sr-00206","RELATED_TO","sk-metalworking","sk-production-work"
"sr-00207","RELATED_TO","sk-research-and-development","sk-technical-education"
"sr-00208","RELATED_TO","sk-e-mobility","sk-electrical-work"
"sr-00209","RELATED_TO","sk-shelf-stocking","sk-warehouse-operations"
"sr-00210","RELATED_TO","sk-food-handling","sk-food-safety"
"sr-00211","RELATED_TO","sk-nail-styling","sk-beauty-services"
"sr-00212","RELATED_TO","sk-eyelash-styling","sk-beauty-services"
"sr-00213","RELATED_TO","sk-masonry","sk-construction-work"
"sr-00214","RELATED_TO","sk-railway-operations","sk-driving"
"sr-00215","RELATED_TO","sk-packaging","sk-production-work"
"sr-00216","RELATED_TO","sk-tiling","sk-construction-work"
"sr-00217","RELATED_TO","sk-floristry","sk-retail-sales"
"sr-00218","RELATED_TO","sk-taxi-driving","sk-driving"
"sr-00219","RELATED_TO","sk-technical-support","sk-technical-maintenance"
"sr-00220","RELATED_TO","sk-graphic-design","sk-information-systems"
"sr-00221","RELATED_TO","sk-sap","sk-information-systems"
"sr-00222","RELATED_TO","sk-massage-therapy","sk-patient-care"
"sr-00223","RELATED_TO","sk-call-center","sk-customer-service"
"sr-00224","RELATED_TO","sk-social-care","sk-patient-care"
"sr-00225","RELATED_TO","sk-autism-support","sk-social-care"
"sr-00226","RELATED_TO","sk-curation","sk-teaching"
"sr-00227","RELATED_TO","sk-sprayed-concrete","sk-construction-work"
"sr-00228","RELATED_TO","sk-optics","sk-technical-maintenance"
"sr-00229","RELATED_TO","sk-firefighting","sk-food-safety"
"sr-00230","RELATED_TO","sk-alarm-systems","sk-food-safety"
"sr-00231","RELATED_TO","sk-metal-technology","sk-metalworking"
"sr-00232","RELATED_TO","sk-fruit-sales","sk-retail-sales"
"sr-00233","RELATED_TO","sk-roofing","sk-construction-work"
"sr-00234","RELATED_TO","sk-sheet-metal-work","sk-construction-work"
"sr-00235","RELATED_TO","sk-meat-processing","sk-production-work"
"sr-00236","RELATED_TO","sk-sewing","sk-production-work"
"sr-00237","RELATED_TO","sk-tailoring","sk-sewing"
"sr-00238","RELATED_TO","sk-woodworking","sk-carpentry"
"sr-00239","RELATED_TO","sk-excavator-operation","sk-construction-work"
"sr-00240","RELATED_TO","sk-rebar-work","sk-construction-work"
"sr-00241","RELATED_TO","sk-pastry","sk-cooking"
"sr-00242","RELATED_TO","sk-locomotive-operation","sk-railway-operations"
"sr-00243","RELATED_TO","sk-textile-work","sk-production-work"
"sr-00244","RELATED_TO","sk-upholstery","sk-production-work"
"sr-00245","RELATED_TO","sk-gas-station-service","sk-sales"
"sr-00246","RELATED_TO","sk-aircraft-maintenance","sk-technical-maintenance"
"sr-00247","RELATED_TO","sk-forestry-work","sk-general-work"
"sr-00248","RELATED_TO","sk-crane-operation","sk-construction-work"
"sr-00249","RELATED_TO","sk-road-maintenance","sk-construction-work"
"sr-00250","RELATED_TO","sk-bath-supervision","sk-food-safety"
"sr-00251","RELATED_TO","sk-general-labor","sk-general-work"
"sr-00252","RELATED_TO","sk-practical-training","sk-general-work"
"sr-au-v8-00253","RELATED_TO","sk-internal-communications","sk-communication"
"sr-au-v8-00254","RELATED_TO","sk-stove-building","sk-construction-work"
"sr-au-v8-00255","RELATED_TO","sk-drywall-installation","sk-construction-work"
"sr-au-v8-00256","RELATED_TO","sk-meat-processing","sk-food-safety"
"sr-au-v8-00257","RELATED_TO","sk-laundry-work","sk-cleaning"
"sr-au-v8-00258","RELATED_TO","sk-energy-systems","sk-technical-maintenance"
"sr-au-v8-00259","RELATED_TO","sk-wood-procurement","sk-procurement"
"sr-au-v8-00260","RELATED_TO","sk-housekeeping","sk-cleaning"
"sr-au-v8-00261","RELATED_TO","sk-food-production","sk-production-work"
"sr-au-v8-00262","RELATED_TO","sk-printing","sk-production-work"
"sr-au-v8-00263","RELATED_TO","sk-aquaculture","sk-animal-care"
"sr-au-v8-00264","RELATED_TO","sk-it-support","sk-it-infrastructure"
"sr-au-v8-00265","RELATED_TO","sk-digital-archiving","sk-administration"
"sr-au-v8-00266","RELATED_TO","sk-concrete-formwork","sk-construction-work"
"sr-au-v8-00267","RELATED_TO","sk-cultural-guiding","sk-customer-service"
"sr-au-v8-00268","RELATED_TO","sk-gamekeeping","sk-forestry-work"
"sr-au-v8-00269","RELATED_TO","sk-road-grader-operation","sk-construction-work"
"sr-au-v8-00270","RELATED_TO","sk-elderly-care","sk-patient-care"
"sr-au-v8-00271","RELATED_TO","sk-retail-cashier","sk-retail-sales"
